289,Jake Layman,MIN,45.00,13.90,-0.41,-0.92,-1.32,0.44
290,John Konchar,MEM,43.00,13.40,0.04,-1.37,-1.34,0.42
291,Garrison Mathews,WAS,64.00,16.20,0.05,-1.39,-1.34,0.70
292,Amir Coffey,LAC,44.00,9.00,-0.59,-0.76,-1.35,0.27
293,Payton Pritchard,BOS,66.00,19.20,0.97,-2.33,-1.36,0.92
294,Bol Bol,DEN,32.00,5.00,-0.45,-0.91,-1.36,0.11
295,Cedi Osman,CLE,59.00,25.60,0.05,-1.42,-1.36,0.94
296,Xavier Tillman Sr.,MEM,59.00,18.40,-0.36,-1.01,-1.38,0.73
297,Andre Drummond,LAL,46.00,27.00,-1.52,0.14,-1.38,0.67
298,Dwight Powell,DAL,58.00,16.70,-1.01,-0.38,-1.38,0.57
299,Paul Reed,PHI,26.00,6.80,-0.40,-1.01,-1.41,0.11
300,Anthony Gill,WAS,26.00,8.40,-0.23,-1.20,-1.42,0.13
301,Gary Harris,ORL,39.00,27.70,-2.57,1.14,-1.43,0.51
302,Taurean Prince,CLE,41.00,22.10,0.59,-2.02,-1.43,0.56
303,Eric Paschall,GSW,40.00,17.40,-0.31,-1.12,-1.43,0.42
304,Damyean Dotson,CLE,46.00,19.70,-0.56,-0.88,-1.44,0.53
305,Sterling Brown,HOU,51.00,24.10,0.09,-1.53,-1.44,0.74
306,Thaddeus Young,CHI,68.00,24.30,0.56,-2.01,-1.45,0.92
307,CJ Elleby,POR,30.00,6.40,-1.07,-0.39,-1.46,0.10
308,Anthony Lamb,HOU,24.00,17.30,-0.37,-1.10,-1.47,0.23
309,Miye Oni,UTA,54.00,9.60,-1.17,-0.31,-1.48,0.27
310,Jaren Jackson Jr,MEM,11.00,23.50,1.27,-2.75,-1.48,0.14
311,Juancho Hernangomez,MIN,52.00,17.30,0.52,-2.02,-1.49,0.50
312,Larry Nance Jr,CLE,35.00,31.20,-1.55,0.05,-1.50,0.50
313,Luke Kennard,LAC,63.00,19.60,0.35,-1.88,-1.53,0.59
314,Cassius Stanley,IND,24.00,3.90,-0.84,-0.70,-1.53,0.05
315,P.J. Washington,CHA,64.00,30.50,-2.05,0.50,-1.55,0.78
316,Ryan Arcidiacono,CHI,44.00,10.20,-0.13,-1.42,-1.56,0.23
317,Jaden McDaniels,MIN,63.00,24.00,-1.06,-0.50,-1.56,0.67
318,Nemanja Bjelica,MIA,37.00,16.10,0.24,-1.81,-1.56,0.26
319,Tremont Waters,BOS,26.00,9.20,0.93,-2.50,-1.58,0.09
320,Mfiondu Kabengele,CLE,39.00,7.20,-0.84,-0.73,-1.58,0.11
321,Isaac Okoro,CLE,67.00,32.40,-3.43,1.85,-1.58,0.78
322,Elfrid Payton,NYK,63.00,23.60,-4.08,2.50,-1.58,0.48
323,James Nunnally,NOP,9.00,5.30,-0.14,-1.45,-1.59,0.02
324,Naji Marshall,NOP,32.00,21.90,-0.13,-1.46,-1.59,0.28
325,Obi Toppin,NYK,62.00,11.00,-0.40,-1.20,-1.60,0.29
326,Dwayne Bacon,ORL,72.00,25.70,-2.72,1.13,-1.60,0.67
327,Khem Birch,TOR,67.00,22.80,-1.96,0.36,-1.60,0.59
328,Markus Howard,DEN,37.00,5.50,0.15,-1.76,-1.60,0.08
329,Marquese Chriss,GSW,2.00,13.50,-0.59,-1.03,-1.62,0.01
330,Terrence Ross,ORL,46.00,29.30,0.21,-1.83,-1.62,0.55
331,Mike James,BKN,13.00,18.20,0.54,-2.16,-1.62,0.07
332,Ish Smith,WAS,44.00,21.00,0.38,-2.02,-1.64,0.36
333,Wendell Carter Jr,ORL,54.00,25.50,-1.63,-0.01,-1.64,0.45
334,Devin Cannady,ORL,8.00,9.30,-0.15,-1.50,-1.66,0.03
335,Rajon Rondo,LAC,45.00,17.10,0.73,-2.39,-1.66,0.29
336,Otto Porter Jr,ORL,28.00,21.70,0.18,-1.84,-1.66,0.22
337,Trey Burke,DAL,62.00,14.70,0.41,-2.07,-1.66,0.33
338,Timothe Luwawu-Cabarrot,BKN,58.00,18.10,0.13,-1.80,-1.67,0.37
339,LaMarcus Aldridge,BKN,26.00,25.90,-1.04,-0.63,-1.67,0.21
340,Anfernee Simons,POR,64.00,17.30,0.61,-2.31,-1.70,0.30
341,Thon Maker,CLE,8.00,9.50,-1.19,-0.53,-1.72,0.03
342,Isaiah Thomas,NOP,3.00,16.00,0.08,-1.82,-1.75,0.01
343,Tyrese Haliburton,SAC,58.00,30.10,1.28,-3.03,-1.75,0.44
344,Tomas Satoransky,CHI,58.00,22.50,0.29,-2.04,-1.75,0.33
345,Marcus Morris Sr.,LAC,57.00,26.40,0.28,-2.04,-1.77,0.33
346,Taj Gibson,NYK,45.00,20.80,-0.90,-0.87,-1.77,0.21
347,Aaron Holiday,IND,66.00,17.80,0.06,-1.83,-1.77,0.28
348,D.J. Augustin,HOU,57.00,19.80,0.85,-2.64,-1.79,0.24
349,Dennis Smith Jr,DET,23.00,18.30,-0.03,-1.76,-1.79,0.08
350,Carmelo Anthony,POR,69.00,24.50,0.05,-1.85,-1.81,0.31
351,Josh Okogie,MIN,59.00,20.30,-1.97,0.16,-1.81,0.20
352,Gary Payton II,GSW,10.00,4.00,-0.68,-1.14,-1.82,0.01
353,Bismack Biyombo,CHA,66.00,20.40,-2.68,0.86,-1.83,0.22
355,Andre Iguodala,MIA,63.00,21.30,-1.38,-0.46,-1.84,0.22
